Study,Year,Nospecies,Phylum,Taxon,Species,SppType,Phylum2,Phylum3,Trophicfunction,TrophicLevel,Lifeform,Biofouler,Popualtions,Morph,NativeNone,Latitude,Longitude,AbsolutLat,Number Locations,Location,Ecosystem,Climate,SeasonExpBegan,Stress,StressDirection,StressMax,StressAnomaly,Ambient,"Type (constant, gradual change, ramping, flucuating) ",PreExpAdjustmentd,Intensitydegrees,IntensityTime,IntTime,IntensityDurationd,ExpExposureDurationd,LatentStressDuration,Exptime,Frequency,Type of ex,MeasurementType,metadata,Bioresponse,Actual Response,Effect direction,TreatmentMean,Treatment var,Control Mean,Control var,var,TreatStd,ControlStd,Data source,SamplesizeC,SamplesizeT
Madariaga et al 2014,2014,2,Chlorophyta,Chlorophyta,Codium fragile,Macrophyte,Macrophyte,Chlorophyta,Primary producer,Autotroph,Plant,Yes,2,Adult,nns,-29.953344,-71.326165,29.953344,1,Chile,Marine,Temperate,Spring,Temp,Increase,18,8,10,Flucuating,1,0,None,None,0,8,0,8,No,Lab,Ind,Yes,Critical Biological Rate,Photosynthesis,1,0.831,0.044,0.658,0.045,(±SD),0.044,0.045,Fig. 2,14,14
Madariaga et al 2014,2014,2,Chlorophyta,Chlorophyta,Codium fragile,Macrophyte,Macrophyte,Chlorophyta,Primary producer,Autotroph,Plant,Yes,2,Adult,nns,-29.953344,-71.326165,29.953344,1,Chile,Marine,Temperate,Spring,Temp,Increase,30,20,10,Flucuating,1,0,None,None,0,8,0,8,No,Lab,Ind,Yes,Critical Biological Rate,Photosynthesis,1,0.7338,0.05,0.658,0.045,(±SD),0.05,0.045,Fig. 2,14,14
Madariaga et al 2014,2014,2,Chordata,Tunicata,Ciona intestinalis,Ascidian,Chordata,Chordata,FiltSus feeder,Heterotroph,Animal,Yes,2,Adult,nns,-29.953344,-71.326165,29.953344,1,Chile,Marine,Temperate,Spring,Sal,Decrease,25,10,35,Flucuating,0,0,None,None,0,10,0,10,No,Lab,Ind,Yes,Survival,Survival,1,29.9527,12.1455,115.5097,12.9352,(±SD),12.1455,12.9352,Fig. 2,10,10
Madariaga et al 2014,2014,2,Chordata,Tunicata,Ciona intestinalis,Ascidian,Chordata,Chordata,FiltSus feeder,Heterotroph,Animal,Yes,2,Adult,nns,-29.953344,-71.326165,29.953344,1,Chile,Marine,Temperate,Spring,Sal,Increase,45,10,35,Flucuating,0,0,None,None,0,10,0,10,No,Lab,Ind,Yes,Survival,Survival,1,109.0088,18.7259,115.5097,12.9352,(±SD),18.7259,12.9352,Fig. 2,10,10
Madariaga et al 2014,2014,2,Chordata,Tunicata,Ciona intestinalis,Ascidian,Chordata,Chordata,FiltSus feeder,Heterotroph,Animal,Yes,2,Adult,nns,-29.953344,-71.326165,29.953344,1,Chile,Marine,Temperate,Spring,Temp,Increase,17,7,10,Flucuating,1,0,None,None,0,10,0,10,No,Lab,Ind,Yes,Survival,Survival,1,86.5269,14.375,120.2765,13.1261,(±SD),14.375,13.1261,Fig. 2,14,14
Madariaga et al 2014,2014,2,Chordata,Tunicata,Ciona intestinalis,Ascidian,Chordata,Chordata,FiltSus feeder,Heterotroph,Animal,Yes,2,Adult,nns,-29.953344,-71.326165,29.953344,1,Chile,Marine,Temperate,Spring,Temp,Increase,25,15,10,Flucuating,1,0,None,None,0,10,0,10,No,Lab,Ind,Yes,Survival,Survival,1,24.6517,12.917,120.2765,13.1261,(±SD),12.917,13.1261,Fig. 2,14,14
Madeira et al 2018,2018,1,Mollusca,Gastropoda,Stramonita haemastoma,Whelk,Mollusca,Mollusca,Grazer,Heterotroph,Animal,No,1,Adult,native,-23.827974,-45.437479,23.827974,1,Brazil,Marine,Tropical,Summer,Temp,Increase,32,3,29,Constant,14,0.1,Hour,Hour,2,28,0,30,No,Lab,Ind,Yes,Growth,Growth,1,9.5721,4.054,15.4655,6.9444,(±SD),9.5721,6.9444,Fig. 3,5,5
Madeira et al 2018,2018,1,Mollusca,Gastropoda,Stramonita haemastoma,Whelk,Mollusca,Mollusca,Grazer,Heterotroph,Animal,No,1,Adult,native,-23.827974,-45.437479,23.827974,1,Brazil,Marine,Tropical,Summer,Temp,Increase,32,3,29,Constant,14,0.1,Hour,Hour,2,14,0,16,No,Lab,Ind,Yes,Metabolic Indicators,Heat Shock Protein,1,0.0356,0.0246,0.0039,0.0024,(±SD),0.0246,0.0024,Fig. 1a,5,5
Madeira et al 2018,2018,1,Mollusca,Gastropoda,Stramonita haemastoma,Whelk,Mollusca,Mollusca,Grazer,Heterotroph,Animal,No,1,Adult,native,-23.827974,-45.437479,23.827974,1,Brazil,Marine,Tropical,Summer,Temp,Increase,32,3,29,Constant,14,0.1,Hour,Hour,2,28,0,30,No,Lab,Ind,Yes,Metabolic Indicators,Heat Shock Protein,1,0.0073,0.0042,0.0083,0.0032,(±SD),0.0042,0.0032,Fig. 1a,5,5
Magalhães et al 2018,2018,2,Mollusca,Bivalvia,Cerastoderma edule,Clam,Mollusca,Mollusca,FiltSus feeder,Heterotroph,Animal,No,1,Juv,native,40.668253,-8.665527,40.668253,1,Portugal,Marine,Temperate,Autumn,Sal,Decrease,22,8,30,Constant,14,2,2 Days,Day,8,6,0,14,No,Lab,Ind,Yes,Metabolic Indicators,Oxidative Stress,1,7.1,1.5825,4,1.52,(±SD),1.5825,1.52,Fig. 2b,9,9
Magalhães et al 2018,2018,2,Mollusca,Bivalvia,Cerastoderma edule,Clam,Mollusca,Mollusca,FiltSus feeder,Heterotroph,Animal,No,1,Juv,native,40.668253,-8.665527,40.668253,1,Portugal,Marine,Temperate,Autumn,Temp,Increase,22,5,17,Constant,14,0,None,None,0,6,0,6,No,Lab,Ind,Yes,Metabolic Indicators,Oxidative Stress,1,4.998,1.69,3.83,1.69,(±SD),1.69,1.69,Fig. 3b,9,9
Malfant et al 2017,2017,2,Chordata,Tunicata,Ciona intestinalis,Ascidian,Chordata,Chordata,FiltSus feeder,Heterotroph,Animal,Yes,1,Larval,native,48.721239,-3.964707,48.721239,2,France,Marine,Temperate,Lab gen,Sal,Decrease,25,10,35,Constant,7,0,None,None,0,28,0,28,No,Lab,Ind,Yes,Survival,Survival,1,95.0357,2.2788,98.3529,1.1519,(±SE),3.94699738,1.995149325,Fig. 4,3,3
Malfant et al 2017,2017,2,Chordata,Tunicata,Ciona robusta,Ascidian,Chordata,Chordata,FiltSus feeder,Heterotroph,Animal,Yes,1,Larval,nns,"48.772494, ",-3.58757,"48.772494, ",2,France,Marine,Temperate,Lab gen,Sal,Decrease,25,10,35,Constant,7,0,None,None,0,28,0,28,No,Lab,Ind,Yes,Survival,Survival,1,99.0078,0.5693,96.8575,2.539,(±SE),0.986056525,4.397677,Fig. 4,3,3
Martinez et al 2012,2012,1,Heterokonta,Heterokonta,Fucus serratus,Macrophyte,Macrophyte,Heterokonta,Primary producer,Autotroph,Plant,Yes,2,Adult,native,43.625701,-7.323277,43.625701,5,Spain,Marine,Temperate,Autumn,Temp,Increase,34,10,24,Flucuating,7,0,None,None,0,0.0625,0.0104,0.0729,No,Lab,Ind,Yes,Critical Biological Rate,Photosynthesis,1,0.3074,0.0243,0.4458,0.0244,(±SE),0.0486,0.0488,Fig. 2,4,4
Martinez et al 2012,2012,1,Heterokonta,Heterokonta,Fucus serratus,Macrophyte,Macrophyte,Heterokonta,Primary producer,Autotroph,Plant,Yes,2,Adult,native,41.661449,-8.826997,41.661449,5,Portugal,Marine,Mediterranean,Autumn,Temp,Increase,22.1,5.6,16.5,Flucuating,6,0,None,None,0,14,0,14,Yes,Lab,Ind,Yes,Growth,Growth,1,0.2539,0.031,0.406,0.0356,(±SE),0.062,0.0712,Fig. 2,4,4
Matozzo et al 2012,2012,2,Mollusca,Bivalvia,Chamelea gallina,Clam,Mollusca,Mollusca,FiltSus feeder,Heterotroph,Animal,No,2,Adult,native,45.228749,12.281644,45.228749,1,Italy,Marine,Mediterranean,Autumn,Sal,Decrease,28,6,34,Constant,0,2,Day,Day,3,7,0,10,No,Lab,Ind,Yes,Metabolic Indicators,Immunity,1,1.6545,0.0747,0.9396,0.0759,(±SE),0.129384195,0.131462656,Fig. 4,3,3
Matozzo et al 2012,2012,2,Mollusca,Bivalvia,Chamelea gallina,Clam,Mollusca,Mollusca,FiltSus feeder,Heterotroph,Animal,No,2,Adult,native,45.228749,12.281644,45.228749,1,Italy,Marine,Mediterranean,Autumn,Sal,Increase,40,6,34,Constant,0,2,Day,Day,3,7,0,10,No,Lab,Ind,Yes,Metabolic Indicators,Immunity,1,1.7214,0.0952,0.9396,0.0759,(±SE),0.164891237,0.131462656,Fig. 4,3,3
Matozzo et al 2012,2012,2,Mollusca,Bivalvia,Chamelea gallina,Clam,Mollusca,Mollusca,FiltSus feeder,Heterotroph,Animal,No,1,Adult,native,45.228749,12.281644,45.228749,1,Italy,Marine,Mediterranean,Autumn,Sal,Decrease,28,6,34,Constant,0,2,Day,Day,3,7,0,10,No,Lab,Ind,Yes,Metabolic Indicators,Immunity,1,22.895,1.0347,9.4959,0.5051,(±SE),1.792152971,0.874858863,Fig 2,3,3
Matozzo et al 2012,2012,2,Mollusca,Bivalvia,Chamelea gallina,Clam,Mollusca,Mollusca,FiltSus feeder,Heterotroph,Animal,No,1,Adult,native,45.228749,12.281644,45.228749,1,Italy,Marine,Mediterranean,Autumn,Sal,Increase,40,6,34,Constant,0,2,Day,Day,3,7,0,10,No,Lab,Ind,Yes,Metabolic Indicators,Immunity,1,22.4236,6.1366,9.4959,0.5051,(±SE),10.62890299,0.874858863,Fig 2,3,3
Matozzo et al 2012,2012,2,Mollusca,Bivalvia,Mytilus galloprovincialis,Mussel,Mollusca,Mollusca,FiltSus feeder,Heterotroph,Animal,Yes,1,Adult,native,45.228749,12.281644,45.228749,1,Italy,Marine,Mediterranean,Autumn,Sal,Decrease,28,6,34,Constant,0,2,Day,Day,3,7,0,10,No,Lab,Ind,Yes,Metabolic Indicators,Immunity,1,1.1032,0.1422,0.7736,0.0631,(±SE),0.246297625,0.109292406,Fig. 7,3,3
Matozzo et al 2012,2012,2,Mollusca,Bivalvia,Mytilus galloprovincialis,Mussel,Mollusca,Mollusca,FiltSus feeder,Heterotroph,Animal,Yes,1,Adult,native,45.228749,12.281644,45.228749,1,Italy,Marine,Mediterranean,Autumn,Sal,Increase,40,6,34,Constant,0,2,Day,Day,3,7,0,10,No,Lab,Ind,Yes,Metabolic Indicators,Immunity,1,0.7798,0.1215,0.7736,0.0631,(±SE),0.210444173,0.109292406,Fig. 7,3,3
Matozzo et al 2012,2012,2,Mollusca,Bivalvia,Mytilus galloprovincialis,Mussel,Mollusca,Mollusca,FiltSus feeder,Heterotroph,Animal,Yes,1,Adult,native,45.228749,12.281644,45.228749,1,Italy,Marine,Mediterranean,Autumn,Sal,Decrease,28,6,34,Constant,0,2,Day,Day,3,7,0,10,No,Lab,Ind,Yes,Metabolic Indicators,Immunity,1,27.315,1.707,97.1426,10.5511,(±SE),2.956610729,18.27504128,Fig. 5,3,3
Matozzo et al 2012,2012,2,Mollusca,Bivalvia,Mytilus galloprovincialis,Mussel,Mollusca,Mollusca,FiltSus feeder,Heterotroph,Animal,Yes,1,Adult,native,45.228749,12.281644,45.228749,1,Italy,Marine,Mediterranean,Autumn,Sal,Increase,40,6,34,Constant,0,2,Day,Day,3,7,0,10,No,Lab,Ind,Yes,Metabolic Indicators,Immunity,1,41.9138,3.0438,97.1426,10.5511,(±SE),5.272016248,18.27504128,Fig. 5,3,3
Matozzo et al 2012,2012,2,Mollusca,Bivalvia,Chamelea gallina,Clam,Mollusca,Mollusca,FiltSus feeder,Heterotroph,Animal,No,2,Adult,native,45.228749,12.281644,45.228749,1,Italy,Marine,Mediterranean,Autumn,Temp,Increase,28,6,22,Constant,0,2,Day,Day,3,7,0,10,No,Lab,Ind,Yes,Metabolic Indicators,Immunity,1,1.3808,0.0727,0.9396,0.0759,(±SE),0.125920094,0.131462656,Fig. 4,3,3
Matozzo et al 2012,2012,2,Mollusca,Bivalvia,Chamelea gallina,Clam,Mollusca,Mollusca,FiltSus feeder,Heterotroph,Animal,No,1,Adult,native,45.228749,12.281644,45.228749,1,Italy,Marine,Mediterranean,Autumn,Temp,Increase,28,6,22,Constant,0,2,Day,Day,3,7,0,10,No,Lab,Ind,Yes,Metabolic Indicators,Immunity,1,16.1905,1.6837,9.4959,0.5051,(±SE),2.916253945,0.874858863,Fig 2,3,3
Matozzo et al 2012,2012,2,Mollusca,Bivalvia,Mytilus galloprovincialis,Mussel,Mollusca,Mollusca,FiltSus feeder,Heterotroph,Animal,Yes,1,Adult,native,45.228749,12.281644,45.228749,1,Italy,Marine,Mediterranean,Autumn,Temp,Increase,28,6,22,Constant,0,2,Day,Day,3,7,0,10,No,Lab,Ind,Yes,Metabolic Indicators,Immunity,1,1.1804,0.1052,0.7736,0.0631,(±SE),0.182211745,0.109292406,Fig. 7,3,3
Matozzo et al 2012,2012,2,Mollusca,Bivalvia,Mytilus galloprovincialis,Mussel,Mollusca,Mollusca,FiltSus feeder,Heterotroph,Animal,Yes,1,Adult,native,45.228749,12.281644,45.228749,1,Italy,Marine,Mediterranean,Autumn,Temp,Increase,28,6,22,Constant,0,2,Day,Day,3,7,0,10,No,Lab,Ind,Yes,Metabolic Indicators,Immunity,1,43.4527,4.6744,97.1426,10.5511,(±SE),8.096298295,18.27504128,Fig. 5,3,3
McElroy et al 2015,2015,6,Comm,Comm,Comm,Comm,Comm,Comm,Comm,Both,Both,Comm,1,Adult,native,54.381403,-5.550075,54.381403,1,UK,Marine,Temperate,Spring,Temp,Increase,14.8,6,8.8,Flucuating,2,0,None,None,0,42,0,42,No,Lab,Int,No,,,,,,,,,,,,,
Mrowicki & O'Connor 2015,2015,3,Mollusca,Gastropoda,Gibbula umbilicalis,Whelk,Mollusca,Mollusca,Grazer,Heterotroph,Animal,No,1,Adult,native,54.381403,-5.550075,54.381403,1,UK,Marine,Temperate,Winter,Temp,Increase,9.4,2,7.4,Flucuating,7,0,None,None,0,24,0,24,No,Lab,Int,Yes,Feeding Ability,Consumption,1,0.8648,0.3739,2.2236,0.8971,(±SE),0.7478,1.7942,Fig . 1a,4,4
Mrowicki & O'Connor 2015,2015,3,Mollusca,Gastropoda,Gibbula umbilicalis,Whelk,Mollusca,Mollusca,Grazer,Heterotroph,Animal,No,1,Adult,native,54.381403,-5.550075,54.381403,1,UK,Marine,Temperate,Winter,Temp,Increase,9.4,2,7.4,Flucuating,7,0,None,None,0,24,0,24,No,Lab,Int,Yes,Feeding Ability,Consumption,1,9.7461,1.4352,5.7335,2.0333,(±SE),2.8704,4.0666,Fig . 1c,4,4
Mrowicki & O'Connor 2015,2015,3,Mollusca,Gastropoda,Littorina littorea,Whelk,Mollusca,Mollusca,Grazer,Heterotroph,Animal,No,1,Adult,native,54.381403,-5.550075,54.381403,1,UK,Marine,Temperate,Winter,Temp,Increase,9.4,2,7.4,Flucuating,7,0,None,None,0,24,0,24,No,Lab,Int,Yes,Feeding Ability,Consumption,1,0.8738,0.1933,0.9586,0.1205,(±SE),0.3866,0.241,Fig . 1a,4,4
Mrowicki & O'Connor 2015,2015,3,Mollusca,Gastropoda,Littorina littorea,Whelk,Mollusca,Mollusca,Grazer,Heterotroph,Animal,No,1,Adult,native,54.381403,-5.550075,54.381403,1,UK,Marine,Temperate,Winter,Temp,Increase,9.4,2,7.4,Flucuating,7,0,None,None,0,24,0,24,No,Lab,Int,Yes,Feeding Ability,Consumption,1,6.5593,4.2429,5.6554,3.527,(±SE),8.4858,7.054,Fig . 1c,4,4
Mrowicki & O'Connor 2015,2015,3,Mollusca,Gastropoda,Patella vulgata,Limpet,Mollusca,Mollusca,Grazer,Heterotroph,Animal,Yes,1,Adult,native,54.381403,-5.550075,54.381403,1,UK,Marine,Temperate,Winter,Temp,Increase,9.4,2,7.4,Flucuating,7,0,None,None,0,24,0,24,No,Lab,Int,Yes,Feeding Ability,Consumption,1,2.571,0.5833,2.6888,0.2229,(±SE),1.1666,0.4458,Fig . 1a,4,4
Mrowicki & O'Connor 2015,2015,3,Mollusca,Gastropoda,Patella vulgata,Limpet,Mollusca,Mollusca,Grazer,Heterotroph,Animal,Yes,1,Adult,native,54.381403,-5.550075,54.381403,1,UK,Marine,Temperate,Winter,Temp,Increase,9.4,2,7.4,Flucuating,7,0,None,None,0,24,0,24,No,Lab,Int,Yes,Feeding Ability,Consumption,1,4.5704,5.5573,10.5398,1.6728,(±SE),11.1146,3.3456,Fig . 1c,4,4
Nagar &Shenkar 2016,2016,1,Chordata,Tunicata,Microcosmus exasperatus,Ascidian,Chordata,Chordata,FiltSus feeder,Heterotroph,Animal,Yes,1,Adult,native,31.681429,34.546808,31.681429,1,Israel,Marine,Mediterranean,Spring,Sal,Decrease,33,4,37,Constant,3,0,None,None,0,14,0,14,No,Lab,Ind,No,,,,,,,,,,,,,
Nagar &Shenkar 2016,2016,1,Chordata,Tunicata,Microcosmus exasperatus,Ascidian,Chordata,Chordata,FiltSus feeder,Heterotroph,Animal,Yes,1,Adult,native,31.681429,34.546808,31.681429,1,Israel,Marine,Mediterranean,Spring,Sal,Increase,43,6,37,Constant,3,0,None,None,0,14,0,14,No,Lab,Ind,No,,,,,,,,,,,,,
Nagar &Shenkar 2016,2016,1,Chordata,Tunicata,Microcosmus exasperatus,Ascidian,Chordata,Chordata,FiltSus feeder,Heterotroph,Animal,Yes,1,Adult,native,31.681429,34.546808,31.681429,1,Israel,Marine,Mediterranean,Spring,Temp,Decrease,12,11,23,Constant,3,1,Day,Day,5,35,0,40,No,Lab,Ind,No,,,,,,,,,,,,,
Nagar &Shenkar 2016,2016,1,Chordata,Tunicata,Microcosmus exasperatus,Ascidian,Chordata,Chordata,FiltSus feeder,Heterotroph,Animal,Yes,1,Adult,native,31.681429,34.546808,31.681429,1,Israel,Marine,Mediterranean,Spring,Temp,Increase,32,9,23,Constant,3,2,Day,Day,8,35,0,43,No,Lab,Ind,No,,,,,,,,,,,,,
Navarro et al 2016,2016,1,Mollusca,Bivalvia,Mytilus chilensis,Mussel,Mollusca,Mollusca,FiltSus feeder,Heterotroph,Animal,Yes,1,Adult,native,-41.474289,-72.9396,41.474289,1,Chile,Marine,Temperate,Winter,Temp,Increase,16,4,12,Constant,14,0,None,None,0,80,0,80,No,Lab,Ind,Yes,Feeding Ability,Consumption,1,0.7165,0.0189,0.616,0.019,(±SE),0.0378,0.038,Fig . 1a,4,4
Navarro et al 2016,2016,1,Mollusca,Bivalvia,Mytilus chilensis,Mussel,Mollusca,Mollusca,FiltSus feeder,Heterotroph,Animal,Yes,1,Adult,native,-41.474289,-72.9396,41.474289,1,Chile,Marine,Temperate,Winter,Temp,Increase,16,4,12,Constant,14,0,None,None,0,80,0,80,No,Lab,Ind,Yes,Respiration,Respiration,-1,74.5207,5.9549,78.2516,6.1663,(±SE),11.9098,12.3326,Fig . 3b,4,4
Nejrup et al 2013,2013,3,Chlorophyta,Chlorophyta,Ulva lactuca,Macrophyte,Macrophyte,Chlorophyta,Primary producer,Autotroph,Plant,Yes,1,Adult,native,55.296499,10.771268,55.296499,1,Denmark,Marine,Temperate,Summer,Temp,Increase,20,5,15,Constant,0,5,Day,Day,1,23,0,24,No,Lab,Ind,Yes,Growth,Growth,1,0.0485,0.0016,0.036,0.0038,(±SE),0.0032,0.0076,Fig. 3,4,4
Nejrup et al 2013,2013,3,Chlorophyta,Chlorophyta,Ulva lactuca,Macrophyte,Macrophyte,Chlorophyta,Primary producer,Autotroph,Plant,Yes,1,Adult,native,55.296499,10.771268,55.296499,1,Denmark,Marine,Temperate,Summer,Temp,Increase,25,10,15,Constant,0,5,Day,Day,2,23,0,25,No,Lab,Ind,Yes,Growth,Growth,1,0.036,0.0045,0.036,0.0038,(±SE),0.009,0.0076,Fig. 3,4,4
Nejrup et al 2013,2013,3,Heterokonta,Heterokonta,Fucus vesiculosus,Macrophyte,Macrophyte,Heterokonta,Primary producer,Autotroph,Plant,Yes,1,Adult,native,55.296499,10.771268,55.296499,1,Denmark,Marine,Temperate,Summer,Temp,Increase,20,5,15,Constant,0,5,Day,Day,1,23,0,24,No,Lab,Ind,Yes,Growth,Growth,1,0.0258,0.0018,0.0161,0.0013,(±SE),0.0036,0.0026,Fig. 3,4,4
Nejrup et al 2013,2013,3,Heterokonta,Heterokonta,Fucus vesiculosus,Macrophyte,Macrophyte,Heterokonta,Primary producer,Autotroph,Plant,Yes,1,Adult,native,55.296499,10.771268,55.296499,1,Denmark,Marine,Temperate,Summer,Temp,Increase,25,10,15,Constant,0,5,Day,Day,2,23,0,25,No,Lab,Ind,Yes,Growth,Growth,1,0.0102,0.0074,0.0161,0.0013,(±SE),0.0148,0.0026,Fig. 3,4,4
Nejrup et al 2013,2013,3,Rhodophyta,Rhodophyta,Gracilaria vermiculophylla,Macrophyte,Macrophyte,Rhodophyta,Primary producer,Autotroph,Plant,Yes,1,Adult,nns,55.296499,10.771268,55.296499,1,Denmark,Marine,Temperate,Summer,Temp,Increase,20,5,15,Constant,0,5,Day,Day,1,23,0,24,No,Lab,Ind,Yes,Growth,Growth,1,0.0436,0.004,0.0435,0.0073,(±SE),0.008,0.0146,Fig. 3,4,4
Nejrup et al 2013,2013,3,Rhodophyta,Rhodophyta,Gracilaria vermiculophylla,Macrophyte,Macrophyte,Rhodophyta,Primary producer,Autotroph,Plant,Yes,1,Adult,nns,55.296499,10.771268,55.296499,1,Denmark,Marine,Temperate,Summer,Temp,Increase,25,10,15,Constant,0,5,Day,Day,2,23,0,25,No,Lab,Ind,Yes,Growth,Growth,1,0.036,0.006,0.0435,0.0073,(±SE),0.012,0.0146,Fig. 3,4,4
Newcomer et al 2018,2018,4,Bryozoa,Bryozoa,Conopeum chesapeakensis,Bryozoan,Bryozoa,Bryozoa,FiltSus feeder,Heterotroph,Animal,Yes,1,Adult,nns,38.017076,-121.807667,38.017076,3,USA,Esturine,Mediterranean,Summer,Sal,Decrease,3.3,4.3,7.6,Gradual,0,0,None,None,0,21,0,21,No,Field,Pop,Yes,Growth,Abundance,1,36.6522,33.2608,302.8696,20.5434,(±SE),105.1798848,64.96393488,Fig. 4,10,10
Newcomer et al 2018,2018,4,Bryozoa,Bryozoa,Conopeum chesapeakensis,Bryozoan,Bryozoa,Bryozoa,FiltSus feeder,Heterotroph,Animal,Yes,1,Adult,nns,38.049212,-122.162571,38.049212,3,USA,Esturine,Mediterranean,Summer,Sal,Increase,21,13.4,7.6,Gradual,0,0,None,None,0,21,0,21,No,Field,Pop,Yes,Growth,Abundance,1,279.587,36,302.8696,20.5434,(±SE),113.8419958,64.96393488,Fig. 3,10,10
Nguyen et al 2011,2011,6,Comm,Comm,Comm,Comm,Comm,Comm,Comm,Heterotroph,Animal,Comm,1,Adult,both,1.343544,103.62667,1.343544,1,Singapore,Marine,Tropical,Summer,Temp,Increase,35.4,6,29.4,Ramping,2,1,Hour,Hour,0.25,90,0,90.25,No,Lab,Ind,No,,,,,,,,,,,,,
Nguyen et al 2011,2011,6,Comm,Comm,Comm,Comm,Comm,Comm,Comm,Heterotroph,Animal,Comm,1,Adult,both,1.343544,103.62667,1.343544,1,Singapore,Marine,Tropical,Summer,Temp,Increase,35.4,6,29.4,Ramping,2,1,Day,Day,6,96,0,102,No,Lab,Ind,No,,,,,,,,,,,,,
Nguyen et al 2011,2011,6,Comm,Comm,Comm,Comm,Comm,Comm,Comm,Heterotroph,Animal,Comm,1,Adult,both,1.343544,103.62667,1.343544,1,Singapore,Marine,Tropical,Summer,Temp,Increase,35.4,6,29.4,Ramping,2,2.5,Week,Week,17,107,0,124,No,Lab,Ind,No,,,,,,,,,,,,,
Nguyen et al 2011,2011,6,Comm,Comm,Comm,Comm,Comm,Comm,Comm,Heterotroph,Animal,Comm,1,Adult,both,1.343544,103.62667,1.343544,1,Singapore,Marine,Tropical,Summer,Temp,Increase,35.4,6,29.4,Ramping,2,3,Month,Month,60,190,0,250,No,Lab,Ind,No,,,,,,,,,,,,,
Nishizaki et al 2015,2015,1,Mollusca,Bivalvia,Mytilus edulis,Mussel,Mollusca,Mollusca,FiltSus feeder,Heterotroph,Animal,Yes,1,Adult,native,43.790567,-69.971033,43.790567,1,USA,Marine,Temperate,Autumn,Temp,Increase,23,10,13,Constant,0,1,Minute,Minute,0,6.25,43.75,50,Yes,Lab,Pop,Yes,Growth,Growth,1,12.6218,0.3837,12.7036,0.6563,(±SE),0.7674,1.3126,Fig. 3c,4,4
Nishizaki et al 2015,2015,1,Mollusca,Bivalvia,Mytilus edulis,Mussel,Mollusca,Mollusca,FiltSus feeder,Heterotroph,Animal,Yes,1,Adult,native,43.790567,-69.971033,43.790567,1,USA,Marine,Temperate,Autumn,Temp,Increase,23,10,13,Constant,0,1,Minute,Minute,0,6.25,43.75,50,Yes,Lab,Ind,Yes,Survival,Survival,1,44.475,3.9782,47.3753,4.5421,(±SE),7.9564,9.0842,Fig. 3b,4,4
O'Connor 2009,2009,1,Heterokonta,Heterokonta,Sargassum filipendula,Macrophyte,Macrophyte,Heterokonta,Primary producer,Autotroph,Plant,Yes,1,Adult,native,34.720474,-76.688251,34.720474,1,USA,Marine,Temperate,Summer,Temp,Increase,25.8,2.4,23.4,Flucuating,0,0,None,None,0,11,0,11,No,Lab,Ind,Yes,Growth,Growth,1,0.9556,0.1439,0.9106,0.2761,(±SE),0.203505332,0.5522,Fig. 3a,4,2
O'Connor 2009,2009,1,Heterokonta,Heterokonta,Sargassum filipendula,Macrophyte,Macrophyte,Heterokonta,Primary producer,Autotroph,Plant,Yes,1,Adult,native,34.720474,-76.688251,34.720474,1,USA,Marine,Temperate,Summer,Temp,Increase,25.8,2.4,23.4,Flucuating,0,0,None,None,0,11,0,11,No,Lab,Int,Yes,Growth,Growth,1,0.6334,0.1665,1.1126,0.5946,(±SE),0.235466558,1.1892,Fig. 3a,4,2
O'Connor 2009,2009,1,Heterokonta,Heterokonta,Sargassum filipendula,Macrophyte,Macrophyte,Heterokonta,Primary producer,Autotroph,Plant,Yes,1,Adult,native,34.720474,-76.688251,34.720474,1,USA,Marine,Temperate,Summer,Temp,Increase,27.7,4.3,23.4,Flucuating,0,0,None,None,0,11,0,11,No,Lab,Ind,Yes,Growth,Growth,1,0.9447,0.2166,0.9106,0.2761,(±SE),0.4332,0.5522,Fig. 3a,4,4
O'Connor 2009,2009,1,Heterokonta,Heterokonta,Sargassum filipendula,Macrophyte,Macrophyte,Heterokonta,Primary producer,Autotroph,Plant,Yes,1,Adult,native,34.720474,-76.688251,34.720474,1,USA,Marine,Temperate,Summer,Temp,Increase,27.7,4.3,23.4,Flucuating,0,0,None,None,0,11,0,11,No,Lab,Int,Yes,Growth,Growth,1,0.6186,0.2436,1.1126,0.5946,(±SE),0.4872,1.1892,Fig. 3a,4,4
O'Connor 2009,2009,1,Heterokonta,Heterokonta,Sargassum filipendula,Macrophyte,Macrophyte,Heterokonta,Primary producer,Autotroph,Plant,Yes,1,Adult,native,34.720474,-76.688251,34.720474,1,USA,Marine,Temperate,Summer,Temp,Increase,26.3,1.8,24.5,Flucuating,0,0,None,None,0,14,0,14,No,Lab,Int,Yes,Growth,Growth,1,0.7795,0.5116,0.5385,0.2632,(±SE),1.0232,0.5264,Fig. 3c,4,4
O'Connor 2009,2009,1,Heterokonta,Heterokonta,Sargassum filipendula,Macrophyte,Macrophyte,Heterokonta,Primary producer,Autotroph,Plant,Yes,1,Adult,native,34.720474,-76.688251,34.720474,1,USA,Marine,Temperate,Summer,Temp,Increase,26.3,1.8,24.5,Flucuating,0,0,None,None,0,14,0,14,No,Lab,Ind,Yes,Growth,Growth,1,0.9231,0.0173,0.6145,0.1946,(±SE),0.0346,0.3892,Fig. 3c,4,4
